,Country,Confirmed,Deaths,Recovered
160,US,161807,2978,5644
81,Italy,101739,11591,14620
147,Spain,87956,7716,16780
34,China,81483,3298,75383
62,Germany,66885,645,13500
58,France,45170,3030,7964
77,Iran,41495,2757,13911
164,United Kingdom,22453,1411,171
152,Switzerland,15922,359,1823
16,Belgium,11899,513,1527
